TERM	CRN	SUBJ	CRSE	SECT	INSTR_TYPE	DAYS	START_TIME	END_TIME	ROOM_CAP
Fall	30059	AFRI	1001	A	LEC	F	1135	1425	148
Fall	30060	AFRI	1001	A01	GRP	F	1435	1525	42
Fall	30061	AFRI	1001	A02	GRP	F	1535	1625	29
Fall	30062	AFRI	1001	A03	GRP	F	1435	1525	25
Fall	30063	AFRI	1001	A04	GRP				
Fall	30064	AFRI	1001	A05	GRP				
Fall	30065	AFRI	1001	A06	GRP	F	1535	1625	25
Winter	10060	AFRI	1002	A	LEC	M	1435	1625	148
Winter	10061	AFRI	1002	A01	GRP	M	1635	1725	58
Winter	10062	AFRI	1002	A02	GRP	M	1705	1755	76
Winter	10063	AFRI	1002	A03	GRP	M	1635	1725	56
Winter	10064	AFRI	1002	A04	GRP				
Winter	10065	AFRI	1002	A05	GRP				
Winter	10066	AFRI	1002	A06	GRP				
Fall	30077	ALDS	1001	A	LEC	MW	1135	1255	108
Winter	10078	ALDS	1001	B	LEC	MW	1135	1255	9000
Fall	30117	ANTH	1001	A	LEC	F	1135	1325	444
Fall	30118	ANTH	1001	A01	GRP	F	1335	1425	35
Fall	30119	ANTH	1001	A02	GRP	F	1335	1425	40
Fall	30120	ANTH	1001	A03	GRP	F	1335	1425	52
Fall	30121	ANTH	1001	A04	GRP	F	1335	1425	34
Fall	30122	ANTH	1001	A05	GRP	F	1335	1425	35
Fall	30123	ANTH	1001	A06	GRP				
Fall	30124	ANTH	1001	A07	GRP				
Fall	30125	ANTH	1001	A08	GRP				
Fall	30126	ANTH	1001	A09	GRP	F	1435	1525	34
Fall	30127	ANTH	1001	A10	GRP	F	1435	1525	47
Fall	30128	ANTH	1001	A11	GRP	F	1435	1525	28
Fall	30129	ANTH	1001	A12	GRP	F	1435	1525	28
Fall	30130	ANTH	1001	A13	GRP	F	1435	1525	40
Fall	30131	ANTH	1001	A14	GRP				
Fall	30132	ANTH	1001	A15	GRP				
Fall	30133	ANTH	1001	A16	GRP				
Fall	30134	ANTH	1001	B	LEC	W	1805	1955	331
Fall	30135	ANTH	1001	B01	GRP	W	2005	2055	80
Fall	30136	ANTH	1001	B02	GRP	W	2005	2055	56
Fall	30137	ANTH	1001	B03	GRP	W	2005	2055	79
Fall	30138	ANTH	1001	B04	GRP	W	2005	2055	52
Fall	30139	ANTH	1001	B05	GRP				
Fall	30140	ANTH	1001	B06	GRP				
Winter	10112	ANTH	1001	C	LEC	M	1435	1625	393
Winter	10113	ANTH	1001	C01	GRP	M	1635	1725	31
Winter	10114	ANTH	1001	C02	GRP	M	1635	1725	32
Winter	10115	ANTH	1001	C03	GRP	M	1635	1725	42
Winter	10116	ANTH	1001	C04	GRP	M	1635	1725	35
Winter	10117	ANTH	1001	C05	GRP	M	1635	1725	31
Winter	10118	ANTH	1001	C06	GRP				
Winter	10119	ANTH	1001	C07	GRP	M	1735	1825	32
Winter	10120	ANTH	1001	C08	GRP	M	1735	1825	32
Winter	10121	ANTH	1001	C09	GRP	M	1735	1825	35
Winter	10122	ANTH	1001	C10	GRP	M	1735	1825	31
Winter	10123	ANTH	1001	C11	GRP	M	1735	1825	36
Winter	10124	ANTH	1001	C12	GRP	M	1735	1825	39
Fall	30141	ANTH	1002	A	LEC	M	1805	1955	192
Fall	30142	ANTH	1002	A1	GRP	M	2005	2055	80
Fall	30143	ANTH	1002	A2	GRP				
Fall	30144	ANTH	1002	A3	GRP				
Fall	30145	ANTH	1002	A4	GRP				
Winter	10125	ANTH	1002	B	LEC	F	835	1025	285
Winter	10126	ANTH	1002	B01	GRP	F	1035	1125	48
Winter	10127	ANTH	1002	B02	GRP	F	1035	1125	30
Winter	10128	ANTH	1002	B03	GRP	F	1035	1125	32
Winter	10129	ANTH	1002	B04	GRP	F	1035	1125	34
Winter	10130	ANTH	1002	B05	GRP	F	1035	1125	40
Winter	10131	ANTH	1002	B06	GRP	F	1135	1225	52
Winter	10132	ANTH	1002	B07	GRP	F	1135	1225	34
Winter	10133	ANTH	1002	B08	GRP	F	1135	1225	28
Winter	10134	ANTH	1002	B09	GRP	F	1135	1225	36
Winter	10135	ANTH	1002	B10	GRP	F	1135	1225	40
Winter	10136	ANTH	1050	B	SEM	T	835	1125	40
Fall	30193	ARAB	1110	A	SEM	F	835	1025	39
Fall	30193	ARAB	1110	A	SEM	TR	835	1125	39
Winter	10192	ARCC	1202	A	LEC	M	835	1125	94
Fall	30202	ARCH	1000	A	LEC	F	835	1125	9000
Winter	10218	ARCN	1005	A	LEC	W	1135	1425	96
Fall	30237	ARCS	1005	A	STU	MR	1205	1455	105
Winter	10235	ARCS	1105	A	STU	MR	1205	1555	105
Fall	30267	ARCY	1008	A	LEC	WF	1005	1125	9000
Winter	10274	ARCY	1009	B	LEC	TR	1305	1425	134
Fall	30268	ARTH	1100	A	LEC	W	1235	1425	348
Fall	30269	ARTH	1100	A01	TUT	F	1335	1425	39
Fall	30270	ARTH	1100	A02	TUT	F	1335	1425	40
Fall	30271	ARTH	1100	A03	TUT	F	835	925	32
Fall	30272	ARTH	1100	A04	TUT	F	835	925	52
Fall	30273	ARTH	1100	A05	TUT	W	2005	2055	27
Fall	30274	ARTH	1100	A06	TUT	W	2005	2055	27
Fall	30275	ARTH	1100	A07	TUT	W	1905	1955	27
Fall	30276	ARTH	1100	A08	TUT	W	1905	1955	32
Fall	30277	ARTH	1100	A09	TUT	F	1635	1725	27
Fall	30278	ARTH	1100	A10	TUT	F	1635	1725	32
Winter	10275	ARTH	1101	B	LEC	R	935	1125	386
Winter	10276	ARTH	1101	B01	TUT	F	935	1025	32
Winter	10277	ARTH	1101	B02	TUT	F	935	1025	40
Winter	10278	ARTH	1101	B03	TUT	R	1135	1225	42
Winter	10279	ARTH	1101	B04	TUT	R	1135	1225	40
Winter	10280	ARTH	1101	B05	TUT	M	1805	1855	40
Winter	10281	ARTH	1101	B06	TUT	M	1805	1855	27
Winter	10282	ARTH	1101	B07	TUT	M	1805	1855	27
Winter	10283	ARTH	1101	B08	TUT	R	1905	1955	27
Winter	10284	ARTH	1101	B09	TUT	R	1905	1955	40
Winter	10285	ARTH	1101	B10	TUT	R	1905	1955	32
Fall	30279	ARTH	1200	A	LEC				9000
Fall	30280	ARTH	1200	A01	TUT	F	1335	1425	69
Fall	30281	ARTH	1200	A02	TUT	F	1435	1525	69
Fall	30282	ARTH	1200	A03	TUT	F	1535	1625	69
Fall	30283	ARTH	1200	A04	TUT	R	1435	1525	83
Fall	30284	ARTH	1200	A05	TUT	R	1535	1625	83
Fall	30285	ARTH	1200	A06	TUT	R	1635	1725	83
Winter	10286	ARTH	1201	B	LEC	T	835	1025	386
Winter	10287	ARTH	1201	B01	TUT	W	1435	1525	27
Winter	10288	ARTH	1201	B02	TUT	W	1435	1525	52
Winter	10289	ARTH	1201	B03	TUT	W	1435	1525	32
Winter	10290	ARTH	1201	B04	TUT	W	835	925	27
Winter	10291	ARTH	1201	B05	TUT	W	835	925	27
Winter	10292	ARTH	1201	B06	TUT	W	835	925	32
Winter	10293	ARTH	1201	B07	TUT	W	1805	1855	27
Winter	10294	ARTH	1201	B08	TUT	W	1805	1855	32
Winter	10295	ARTH	1201	B09	TUT	R	1805	1855	40
Winter	10296	ARTH	1201	B10	TUT	R	1805	1855	83
Fall	30314	ASLA	1010	A	SEM	TR	935	1125	69
Fall	30315	ASLA	1010	B	SEM	MW	1435	1625	69
Fall	30316	ASLA	1010	C	SEM	TR	1435	1625	69
Fall	30317	ASLA	1010	D	SEM	TR	1135	1325	69
Fall	30318	ASLA	1010	E	SEM	MW	935	1125	52
Fall	30319	ASLA	1010	F	SEM	TR	1435	1625	48
Fall	30320	ASLA	1010	G	SEM	WF	1135	1325	54
Fall	30321	ASLA	1010	H	SEM	MW	1135	1325	40
Fall	30322	ASLA	1010	I	SEM	TR	1805	1955	55
Fall	30323	ASLA	1010	J	SEM	MW	1805	1955	52
Fall	30324	ASLA	1010	K	SEM	TR	1805	1955	52
Fall	30325	ASLA	1010	L	SEM	MW	1805	1955	52
Winter	10330	ASLA	1010	N	SEM	TR	1435	1625	69
Winter	10331	ASLA	1010	O	SEM	MW	935	1125	69
Winter	10332	ASLA	1010	P	SEM	TR	1135	1325	69
Winter	10333	ASLA	1020	A	SEM	MW	1135	1325	69
Winter	10334	ASLA	1020	B	SEM	TR	1435	1625	40
Winter	10335	ASLA	1020	C	SEM	TR	1135	1325	48
Winter	10336	ASLA	1020	D	SEM	MW	1435	1625	56
Winter	10337	ASLA	1020	E	SEM	MW	1805	1955	69
Winter	10338	ASLA	1020	F	SEM	TR	1805	1955	52
Winter	10339	ASLA	1020	G	SEM	MW	1805	1955	52
Winter	10345	BIOC	1500	A	LEC	M	835	1125	76
Fall	30369	BIOL	1010	R	LEC				9000
Fall	30370	BIOL	1103	A	LEC	MW	1135	1255	444
Fall	30371	BIOL	1103	A02	LAB	T	1335	1625	50
Fall	30372	BIOL	1103	A03	LAB	W	1335	1625	50
Fall	30373	BIOL	1103	A04	LAB	R	1335	1625	50
Fall	30374	BIOL	1103	A07	LAB	T	835	1125	50
Fall	30375	BIOL	1103	A08	LAB	W	835	1125	50
Fall	30376	BIOL	1103	A09	LAB	R	835	1125	50
