CRN	SUBJ	CRSE	SECT	TITLE	TYPE	DAYS	START_TIME	END_TIME	START_DATE	END_DATE	ROOM_CAP	ENR
15200	SYSC	2004	D	Object-Oriented Sofware Dvlpmt	LEC	TR	1435	1555	2025-01-06	2025-04-08	192	0
15201	SYSC	2004	E	Object-Oriented Sofware Dvlpmt	LEC	TR	1605	1725	2025-01-06	2025-04-08	192	0
15202	SYSC	2004	L1	Object-Oriented Sofware Dvlpmt	LAB	F	1605	1755	2025-01-06	2025-04-08	70	0
15203	SYSC	2004	L2	Object-Oriented Sofware Dvlpmt	LAB	F	1605	1755	2025-01-06	2025-04-08	30	0
15204	SYSC	2004	L3	Object-Oriented Sofware Dvlpmt	LAB	T	1135	1325	2025-01-06	2025-04-08	70	0
15205	SYSC	2004	L4	Object-Oriented Sofware Dvlpmt	LAB	T	1135	1325	2025-01-06	2025-04-08	30	0
15206	SYSC	2004	L5	Object-Oriented Sofware Dvlpmt	LAB	M	1635	1825	2025-01-06	2025-04-08	70	0
15207	SYSC	2004	L6	Object-Oriented Sofware Dvlpmt	LAB	M	1635	1825	2025-01-06	2025-04-08	30	0
15208	SYSC	2004	L7	Object-Oriented Sofware Dvlpmt	LAB	W	935	1125	2025-01-06	2025-04-08	70	0
15209	SYSC	2004	L8	Object-Oriented Sofware Dvlpmt	LAB	W	935	1125	2025-01-06	2025-04-08	30	0
35522	SYSC	2006	A	Foundations Imperative Program	LEC	TR	1605	1725	2024-09-04	2024-12-06	236	0
35523	SYSC	2006	B	Foundations Imperative Program	LEC	TR	1735	1855	2024-09-04	2024-12-06	236	0
15210	SYSC	2006	D	Foundations Imperative Program	LEC	TR	1005	1125	2025-01-06	2025-04-08	189	0
35524	SYSC	2006	L1	Foundations Imperative Program	LAB	F	835	1025	2024-09-04	2024-12-06	70	0
15211	SYSC	2006	L1	Foundations Imperative Program	LAB	M	1435	1625	2025-01-06	2025-04-08	70	0
35525	SYSC	2006	L10	Foundations Imperative Program	LAB	W	935	1125	2024-09-04	2024-12-06	55	0
35526	SYSC	2006	L2	Foundations Imperative Program	LAB	F	835	1025	2024-09-04	2024-12-06	70	0
15212	SYSC	2006	L2	Foundations Imperative Program	LAB	T	1235	1425	2025-01-06	2025-04-08	47	0
35527	SYSC	2006	L3	Foundations Imperative Program	LAB	M	1135	1325	2024-09-04	2024-12-06	70	0
15213	SYSC	2006	L3	Foundations Imperative Program	LAB	R	1235	1425	2025-01-06	2025-04-08	70	0
35528	SYSC	2006	L4	Foundations Imperative Program	LAB	M	1135	1325	2024-09-04	2024-12-06	70	0
15214	SYSC	2006	L4	Foundations Imperative Program	LAB	W	1435	1625	2025-01-06	2025-04-08	70	0
35529	SYSC	2006	L5	Foundations Imperative Program	LAB	W	1605	1755	2024-09-04	2024-12-06	70	0
35530	SYSC	2006	L6	Foundations Imperative Program	LAB	W	1605	1755	2024-09-04	2024-12-06	55	0
35531	SYSC	2006	L7	Foundations Imperative Program	LAB	M	835	1025	2024-09-04	2024-12-06	70	0
35532	SYSC	2006	L8	Foundations Imperative Program	LAB	M	1805	1955	2024-09-04	2024-12-06	70	0
35533	SYSC	2006	L9	Foundations Imperative Program	LAB	W	935	1125	2024-09-04	2024-12-06	70	0
15215	SYSC	2010	A	Programming Project	LEC	TR	1135	1255	2025-01-06	2025-04-08	52	0
15216	SYSC	2010	L1	Programming Project	LAB	M	835	1125	2025-01-06	2025-04-08	50	0
15217	SYSC	2100	A	Algorithms and Data Structures	LEC	WF	1135	1255	2025-01-06	2025-04-08	204	0
15218	SYSC	2100	B	Algorithms and Data Structures	LEC	TR	1305	1425	2025-01-06	2025-04-08	192	0
15219	SYSC	2100	L1	Algorithms and Data Structures	LAB	M	1135	1325	2025-01-06	2025-04-08	55	0
15220	SYSC	2100	L2	Algorithms and Data Structures	LAB	R	935	1125	2025-01-06	2025-04-08	55	0
15221	SYSC	2100	L3	Algorithms and Data Structures	LAB	M	935	1125	2025-01-06	2025-04-08	55	0
15222	SYSC	2100	L4	Algorithms and Data Structures	LAB	M	1435	1625	2025-01-06	2025-04-08	55	0
15223	SYSC	2100	L5	Algorithms and Data Structures	LAB	F	935	1125	2025-01-06	2025-04-08	55	0
35534	SYSC	2310	A	Intro to Digital Systems	LEC	MW	835	955	2024-09-04	2024-12-06	96	0
35535	SYSC	2310	B	Intro to Digital Systems	LEC	MW	1305	1425	2024-09-04	2024-12-06	393	0
15224	SYSC	2310	C	Intro to Digital Systems	LEC	TR	835	955	2025-01-06	2025-04-08	58	0
35536	SYSC	2310	L1E	Intro to Digital Systems	LAB	M	1435	1725	2024-09-16	2024-12-06	55	0
35537	SYSC	2310	L1O	Intro to Digital Systems	LAB	M	1435	1725	2024-09-09	2024-12-06	55	0
15225	SYSC	2310	L1O	Intro to Digital Systems	LAB	M	1135	1425	2025-01-06	2025-04-08	58	0
35538	SYSC	2310	L2E	Intro to Digital Systems	LAB	F	1435	1725	2024-09-16	2024-12-06	55	0
35539	SYSC	2310	L2O	Intro to Digital Systems	LAB	F	1435	1725	2024-09-09	2024-12-06	55	0
35540	SYSC	2310	L3E	Intro to Digital Systems	LAB	F	1135	1425	2024-09-16	2024-12-06	55	0
35541	SYSC	2310	L3O	Intro to Digital Systems	LAB	F	1135	1425	2024-09-09	2024-12-06	55	0
15226	SYSC	2320	A	Intro. Computer Org. and Arch.	LEC	TR	1605	1725	2025-01-06	2025-04-08	204	0
15227	SYSC	2320	B	Intro. Computer Org. and Arch.	LEC	TR	835	955	2025-01-06	2025-04-08	154	0
15228	SYSC	2320	L1	Intro. Computer Org. and Arch.	LAB	T	835	1125	2025-01-06	2025-04-08	58	0
15229	SYSC	2320	L2	Intro. Computer Org. and Arch.	LAB	W	1435	1725	2025-01-06	2025-04-08	55	0
15230	SYSC	2320	L3	Intro. Computer Org. and Arch.	LAB	R	1135	1425	2025-01-06	2025-04-08	55	0
15231	SYSC	2320	L4	Intro. Computer Org. and Arch.	LAB	M	835	1125	2025-01-06	2025-04-08	55	0
15232	SYSC	2320	L5	Intro. Computer Org. and Arch.	LAB	F	835	1125	2025-01-06	2025-04-08	50	0
15233	SYSC	2320	L6	Intro. Computer Org. and Arch.	LAB	M	835	1125	2025-01-06	2025-04-08	58	0
15234	SYSC	2510	A	Probability & Random Processes	LEC	WF	1305	1425	2025-01-06	2025-04-08	151	0
15235	SYSC	2510	L1O	Probability & Random Processes	LAB	T	1135	1425	2025-01-06	2025-04-08	55	0
15236	SYSC	2510	L2O	Probability & Random Processes	LAB	W	835	1125	2025-01-06	2025-04-08	55	0
15237	SYSC	2510	L3O	Probability & Random Processes	LAB	F	835	1125	2025-01-06	2025-04-08	55	0
35542	SYSC	3006	A	Computer Organization	LEC	TR	1005	1125	2024-09-04	2024-12-06	154	0
35543	SYSC	3006	L1	Computer Organization	LAB	W	1135	1325	2024-09-04	2024-12-06	40	0
35544	SYSC	3006	L2	Computer Organization	LAB	T	1235	1425	2024-09-04	2024-12-06	58	0
35545	SYSC	3006	L3	Computer Organization	LAB	M	1535	1725	2024-09-04	2024-12-06	40	0
35546	SYSC	3006	L4	Computer Organization	LAB	F	1435	1625	2024-09-04	2024-12-06	40	0
35547	SYSC	3006	L5	Computer Organization	LAB	T	1535	1725	2024-09-04	2024-12-06	58	0
35548	SYSC	3006	L6	Computer Organization	LAB	W	835	1025	2024-09-04	2024-12-06	40	0
